S. No,Category,State/UT,Punishment for Rape (Sec.376 & 376(I),Rape in Custody (Section 376(2)) - Total,Rape in Custody (Section 376(2)) - By Police Personnel (Sec.376(2) (a),Rape in Custody (Section 376(2)) - By Public Servant (Sec.376(2) (b),Rape in Custody (Section 376(2)) - By Member of Armed Forces (Sec.376(2) (c),Rape in Custody (Section 376(2)) - By Management/Staff of Jail/Remand Home/Place of Custody (Sec.376(2)(d),Rape in Custody (Section 376(2)) - By Management/ Staff of Hospital (Sec.376(2) (e),Other Than Custodial Rape (Section 376(2)) - Rape Other than Custodial (Total),Other Than Custodial Rape (Section 376(2)) - By Relative/Guardian/Teacher/person in position of trust (Sec.376(2) (f),Other Than Custodial Rape (Section 376(2)) - On Pregnant Women (Sec.376(2) (h),Other Than Custodial Rape (Section 376(2)) - On Women Below 16 years of age (Sec.376(2) (i),Other Than Custodial Rape (Section 376(2)) - On Women Incapable of giving Consent (Sec.376(2) (j),Other Than Custodial Rape (Section 376(2)) - By Persons in Control or Dominance over women (Sec.376(2) (k),Other Than Custodial Rape (Section 376(2)) - On Women with Mental or Physical disability (Sec.376(2)(l),Other Than Custodial Rape (Section 376(2)) - Endanger life of Women after Rape (Sec.376(2)(m),Other Than Custodial Rape (Section 376(2)) - Repeated Rape on same women (Sec.376(2)(n),Other Than Custodial Rape (Section 376(2)) - Other Custodial Rapes,Punishment upto 20 years extended to life for Rape (Below 16 Yrs) (Sec.376(3)),Punishment for causing Death (Sec.376(A)),By Separated husband (Sec.376 (B)),Rape/Gang Rape of Girl Below 16 Yrs (Imprisonment for life till death) (Sec.376(DA)),By Person in Authority (Sec.376 (C)),Gang Rape (Sec.376(D)),Rape/Gang Rape of Girl Below 12 Yrs (Imprisonment for life till death) (Sec.376(DB)),Rape/Gang Rape of Girl Below 16 Yrs (Imprisonment for life till death) (Sec.376(DB)),Punishment for Repeat offenders (Sec.376(E)),Rape (Total) (Sec.376 IPC)
28,State,Uttarakhand,328,0,0,0,0,0,0,232,224,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,561
29,State,West Bengal,1001,0,0,0,0,0,0,12,0,0,0,0,0,7,1,4,0,0,0,0,0,1,55,0,0,0,1069
State,State,Total State(s),22359,54,15,13,2,17,7,6957,2218,24,1543,396,136,86,16,2440,98,207,41,34,136,59,1780,33,140,213,32013
30,Union Territory,A&N Islands,27,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,30
31,Union Territory,Chandigarh,46,3,1,1,0,1,0,17,0,0,3,0,0,1,0,13,0,12,0,0,5,0,2,0,1,0,86
32,Union Territory,D&N Haveli,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
33,Union Territory,Daman & Diu,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
34,Union Territory,Delhi,1138,2,0,1,0,1,0,26,7,0,0,0,0,0,0,18,1,0,0,3,0,2,44,0,0,0,1215
35,Union Territory,Lakshadweep,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
36,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Union Territory,Total UT(s),1222,6,1,2,1,2,0,45,8,0,3,0,0,1,0,32,1,12,0,4,5,2,46,0,1,0,1343
Total All India,Total All India,Total All India,23581,60,16,15,3,19,7,7002,2226,24,1546,396,136,87,16,2472,99,219,41,38,141,61,1826,33,141,213,33356
